sexo,estado_civil,idade,possui_filhos,idade_media_filhos,cargo_atual/senioridade,home_office/hibrido,avaliação_ambiente_trabalho,modelo_ideal,modelo_pre_pandemia,modelo_pos_pandemia,satisfacao_vida_pessoal,satisfacao_cuidado_filhos,satisfacao_tarefas_domesticas,satisfacao_estudos,satisfacao_dev_carreira,sobrecarga_vida_pessoal,sobrecarga_cuidado_filhos,sobrecarga_tarefas_domesticas,sobrecarga_estudos,sobrecarga_dev_carreira,frustracao_vida_pessoal,frustracao_cuidado_filhos,frustracao_tarefas_domesticas,frustracao_estudos,frustracao_dev_carreira,inseguranca_vida_pessoal,inseguranca_cuidado_filhos,inseguranca_tarefas_domesticas,inseguranca_estudos,inseguranca_dev_carreira,nivel
Homem,Casado(a)/União Estável,32,Não,Não se aplica,Desenvolvedor(a) Sênior,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,5.0,5.0,5.0,1.0,Não se aplica,1.0,1.0,2.0,2.0,Não se aplica,2.0,2.0,2.0,2.0,Não se aplica,2.0,2.0,2.0,Avançado
Mulher,Casado(a)/União Estável,28,Não,Não se aplica,Analista de Dados Júnior,Híbrido,5.0,Híbrido,Não,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,4.0,5.0,5.0,5.0,Não se aplica,3.0,5.0,5.0,5.0,Não se aplica,5.0,5.0,5.0,5.0,Não se aplica,5.0,5.0,5.0,Entrada
Mulher,Casado(a)/União Estável,40,Sim,3,QA Sênior,Remoto,4.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,Avançado
Homem,Solteiro(a),24,Não,Não se aplica,Desenvolvedor(a) Pleno,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,5.0,5.0,5.0,2.0,Não se aplica,2.0,3.0,3.0,0.0,Não se aplica,1.0,0.0,1.0,2.0,Não se aplica,2.0,2.0,2.0,Intermediário
Homem,Solteiro(a),23,Não,Não se aplica,Desenvolvedor(a) Júnior,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,2.0,Não se aplica,2.0,2.0,2.0,0.0,Não se aplica,0.0,1.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,1.0,0.0,Entrada
Homem,Solteiro(a),27,Não,Não se aplica,Analista Pleno Controladoria,Híbrido,5.0,Híbrido,Não,Adotou o modelo de trabalho híbrido?,5.0,Não se aplica,5.0,5.0,5.0,4.0,Não se aplica,3.0,1.0,1.0,3.0,Não se aplica,2.0,2.0,1.0,0.0,Não se aplica,0.0,0.0,0.0,Intermediário
Homem,Casado(a)/União Estável,47,Sim,10,QA Pleno,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Intermediário
Homem,Casado(a)/União Estável,37,Não,Não se aplica,Engenheiro(a) de Dados Sênior,Remoto,4.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,4.0,4.0,3.0,4.0,Não se aplica,3.0,4.0,3.0,2.0,Não se aplica,3.0,4.0,3.0,3.0,Não se aplica,2.0,2.0,3.0,Avançado
Mulher,Casado(a)/União Estável,26,Não,Não se aplica,Analista Administrativo Júnior,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,4.0,Não se aplica,4.0,2.0,3.0,3.0,Não se aplica,4.0,3.0,3.0,3.0,Não se aplica,2.0,4.0,3.0,1.0,Não se aplica,1.0,3.0,3.0,Entrada
Homem,Casado(a)/União Estável,33,Não,Não se aplica,Desenvolvedor(a) Sênior,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,4.0,Não se aplica,5.0,5.0,4.0,2.0,Não se aplica,1.0,3.0,4.0,2.0,Não se aplica,1.0,3.0,2.0,0.0,Não se aplica,0.0,1.0,2.0,Avançado
Mulher,Solteiro(a),25,Não,Não se aplica,Desenvolvedor(a)(a) Júnior,Remoto,4.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,5.0,5.0,5.0,2.0,Não se aplica,2.0,2.0,3.0,2.0,Não se aplica,2.0,2.0,2.0,0.0,Não se aplica,0.0,0.0,4.0,Entrada
Homem,Casado(a)/União Estável,38,Sim,7,Master,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,5.0,5.0,3.0,1.0,2.0,4.0,3.0,3.0,3.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,3.0,3.0,Avançado
Mulher,Casado(a)/União Estável,35,Sim,3s,Scrum Master,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Avançado
